location,basis,delivery_start,delivery_end,symbol,cash_price,commodity
CGB HENNEPIN,-8,06/01/2026,06/30/2026,Jul 2026,$4.0400,Corn
CGB HENNEPIN,0,07/01/2026,07/31/2026,Jul 2026,$4.1200,Corn
CGB HENNEPIN,-2,08/01/2026,08/31/2026,Sep 2026,$4.1800,Corn
CGB HENNEPIN,-6,09/01/2026,09/30/2026,Sep 2026,$4.1400,Corn
CGB HENNEPIN,-25,10/01/2026,10/31/2026,Dec 2026,$4.1500,Corn
CGB HENNEPIN,-12,11/01/2026,11/30/2026,Dec 2026,$4.2800,Corn
CGB HENNEPIN,-2,12/01/2026,12/31/2026,Dec 2026,$4.3800,Corn
CGB HENNEPIN,-10,01/01/2027,01/31/2027,Mar 2027,$4.4400,Corn
CGB HENNEPIN,-7,02/01/2027,02/28/2027,Mar 2027,$4.4700,Corn
CGB HENNEPIN,-15,06/01/2026,06/30/2026,Jul 2026,$11.0100,Beans
CGB HENNEPIN,-8,07/01/2026,07/31/2026,Jul 2026,$11.0800,Beans
CGB HENNEPIN,-10,08/01/2026,08/31/2026,Aug 2026,$11.1300,Beans
CGB HENNEPIN,-35,09/01/2026,09/30/2026,Nov 2026,$11.0700,Beans
CGB HENNEPIN,-35,10/01/2026,10/31/2026,Nov 2026,$11.0700,Beans
CGB HENNEPIN,-15,11/01/2026,11/30/2026,Nov 2026,$11.2700,Beans
CGB HENNEPIN,-17,12/01/2026,12/31/2026,Jan 2027,$11.3900,Beans
CGB HENNEPIN,-10,01/01/2027,01/31/2027,Jan 2027,$11.4600,Beans
CGB HENNEPIN,-17,02/01/2027,02/28/2027,Mar 2027,$11.4600,Beans
ADM Havana,0,06/01/2026,06/30/2026,Jun 26,$4.1150,Corn
ADM Havana,11,07/01/2026,07/31/2026,Jul 26,$4.2250,Corn
ADM Havana,4,08/01/2026,08/15/2026,FH Aug 26,$4.2375,Corn
ADM Havana,4,08/16/2026,08/31/2026,LH Aug 26,$4.2375,Corn
ADM Havana,-25,09/01/2026,10/31/2026,Fall 26,$4.1450,Corn
ADM Havana,-15,11/01/2026,11/30/2026,Nov 26,$4.2450,Corn
ADM Havana,-5,12/01/2026,12/31/2026,Dec 26,$4.3450,Corn
ADM Havana,-8,01/01/2027,01/31/2027,Jan 27,$4.4600,Corn
ADM Havana,-3,02/01/2027,02/28/2027,Feb 27,$4.5100,Corn
ADM Havana,-2,06/01/2026,06/30/2026,Jun 26,$11.1375,Beans
ADM Havana,4,07/01/2026,07/31/2026,Jul 26,$11.1975,Beans
ADM Havana,-10,08/01/2026,08/31/2026,Aug 26,$11.1250,Beans
ADM Havana,-30,09/01/2026,10/31/2026,Fall 26,$11.1150,Beans
ADM Havana,-15,11/01/2026,11/30/2026,Nov 26,$11.2650,Beans
ADM Havana,-10,12/01/2026,12/31/2026,Dec 26,$11.4575,Beans
ADM Havana,-10,01/01/2027,01/31/2027,Jan 27,$11.4575,Beans
ADM Havana,-15,02/01/2027,02/28/2027,Feb 27,$11.4800,Beans
Cargill Keithsburg,-14,06/01/2026,06/30/2026,CN6,$3.9750,Corn
Cargill Keithsburg,-8,07/01/2026,07/31/2026,CN6,$4.0350,Corn
Cargill Keithsburg,-35,10/01/2026,11/30/2026,CZ6,$4.0450,Corn
Cargill Keithsburg,-25,11/15/2026,11/30/2026,CZ6,$4.1450,Corn
Cargill Keithsburg,-25,06/01/2026,06/30/2026,SN6,$10.9075,Beans
Cargill Keithsburg,-15,07/01/2026,07/31/2026,SN6,$11.0075,Beans
Cargill Keithsburg,-52,09/01/2026,10/31/2026,SX6,$10.8950,Beans
Cargill Keithsburg,-36,11/01/2026,11/30/2026,SX6,$11.0550,Beans
Cargill Keithsburg,-25,11/15/2026,11/30/2026,SX6,$11.1650,Beans
ADM E St Louis,27,06/01/2026,06/30/2026,June 26,$4.3850,Corn
ADM E St Louis,36,07/01/2026,07/31/2026,July 26,$4.4750,Corn
ADM E St Louis,21,08/01/2026,08/31/2026,AUG 26,$4.4075,Corn
ADM E St Louis,12,09/01/2026,09/30/2026,SEPT 26,$4.3175,Corn
ADM E St Louis,-4,10/01/2026,11/30/2026,NC 26,$4.3550,Corn
ADM E St Louis,10,11/01/2026,11/30/2026,Nov 26,$4.4950,Corn
ADM E St Louis,25,12/01/2026,12/31/2026,Dec 26,$4.6450,Corn
ADM E St Louis,13,01/01/2027,01/31/2027,Jan 27,$4.6700,Corn
ADM E St Louis,18,02/01/2027,02/28/2027,Feb 27,$4.7200,Corn
ADM E St Louis,25,06/01/2026,06/30/2026,June 26,$11.4075,Beans
ADM E St Louis,36,07/01/2026,07/31/2026,July 26,$11.5175,Beans
ADM E St Louis,14,08/01/2026,08/31/2026,AUG 26,$11.3650,Beans
ADM E St Louis,-6,09/01/2026,09/30/2026,SEPT 26,$11.3550,Beans
ADM E St Louis,-6,10/01/2026,11/30/2026,NC 26,$11.3550,Beans
ADM E St Louis,16,11/01/2026,11/30/2026,Nov 26,$11.5750,Beans
ADM E St Louis,16,12/01/2026,12/31/2026,Dec 26,$11.7175,Beans
ADM E St Louis,19,01/01/2027,01/31/2027,Jan 27,$11.7475,Beans
ADM E St Louis,18,02/01/2027,02/28/2027,Feb 27,$11.8100,Beans
ADM Evansville IN,31,06/01/2026,06/30/2026,June,$4.4250,Corn
ADM Evansville IN,36,07/01/2026,07/31/2026,July,$4.4750,Corn
ADM Evansville IN,18,08/01/2026,08/31/2026,August,$4.3775,Corn
ADM Evansville IN,5,09/01/2026,09/30/2026,September,$4.2475,Corn
ADM Evansville IN,-7,09/01/2026,11/30/2026,Fall '26,$4.3250,Corn
ADM Evansville IN,17,12/01/2026,12/31/2026,Dec '26,$4.5650,Corn
ADM Evansville IN,10,01/01/2027,01/31/2027,Jan 27,$4.6400,Corn
ADM Evansville IN,14,02/01/2027,02/28/2027,February 27,$4.6800,Corn
ADM Evansville IN,30,06/01/2026,06/30/2026,June,$11.4575,Beans
ADM Evansville IN,37,07/01/2026,07/31/2026,July,$11.5275,Beans
ADM Evansville IN,14,08/01/2026,08/31/2026,August,$11.3650,Beans
ADM Evansville IN,-10,09/01/2026,11/30/2026,Fall '26,$11.3150,Beans
ADM Evansville IN,8,12/01/2026,12/31/2026,Dec '26,$11.6375,Beans
ADM Evansville IN,15,01/01/2027,01/31/2027,Jan 27,$11.7075,Beans
ADM Evansville IN,6,02/01/2027,02/28/2027,February 27,$11.6900,Beans
BioUrja Peoria,-9,06/01/2026,06/30/2026,Jul 26 Corn,$4.0200,Corn
